unique_id,collision_id,person_type,person_age,person_sex,contributing_factor_1
10253680,4230815,Occupant,,M,
10248404,4229633,Occupant,31.0,M,
10252965,4230912,Occupant,,U,
10253555,4230726,Occupant,24.0,F,
10254444,4230703,Occupant,62.0,M,
10250838,4230377,Occupant,38.0,M,
10255098,4230671,Occupant,41.0,M,
10253176,4230550,Occupant,61.0,M,
10250190,4229900,Occupant,27.0,F,
10254778,4230808,Occupant,,M,
10254661,4216162,Occupant,31.0,F,
10249002,4229550,Occupant,49.0,F,
10249429,4230183,Occupant,38.0,M,
10252888,4231137,Occupant,,,
10252457,4229780,Occupant,,U,
10253791,4230915,Pedestrian,24.0,F,Unspecified
10250850,4230379,Occupant,18.0,M,
10254480,4230689,Occupant,45.0,F,
10253607,4230743,Occupant,32.0,M,
10249130,4230399,Occupant,27.0,M,
10250422,4230165,Occupant,,,
10254126,4230878,Occupant,,F,
10253442,4230649,Occupant,,F,
10253227,4230585,Occupant,45.0,M,
10255075,4230650,Occupant,3.0,M,
10248881,4229560,Occupant,32.0,M,
10255118,4230599,Occupant,,U,
10255697,4231090,Occupant,20.0,F,
10252796,4230641,Occupant,57.0,F,
10254076,4231166,Occupant,,M,
10253246,4231058,Occupant,36.0,F,
10255149,4230677,Occupant,15.0,F,
10253668,4230783,Occupant,33.0,M,
10254520,4230686,Occupant,31.0,M,
10253582,4230736,Occupant,45.0,M,
10249704,4229828,Occupant,28.0,M,
10254804,4230807,Occupant,57.0,M,
10248506,4229671,Occupant,62.0,M,
10248180,4229683,Occupant,35.0,M,
10254366,4231025,Occupant,,,
10253156,4229816,Occupant,,,
10250843,4230370,Occupant,48.0,M,
10251322,4230030,Occupant,,M,
10251725,4230500,Occupant,21.0,M,
10253172,4231054,Occupant,53.0,F,
10251617,4230338,Occupant,21.0,M,
10254482,4230695,Occupant,48.0,M,
10248936,4229568,Occupant,47.0,M,
10253112,4231050,Occupant,,,
10251352,4230044,Occupant,51.0,M,
10255310,4230837,Occupant,26.0,F,
10253757,4230652,Occupant,,,
10254814,4230765,Occupant,59.0,M,
6322902,3493395,Occupant,,,
10254664,4231274,Occupant,67.0,F,
10249921,4230020,Occupant,35.0,F,
10254990,4230593,Occupant,59.0,F,
10255107,4230623,Occupant,60.0,M,
10249330,4229970,Occupant,71.0,M,
10254548,4230711,Occupant,26.0,M,
10249719,4229821,Occupant,38.0,U,
10254030,4230629,Occupant,9.0,M,
10254122,4230878,Occupant,18.0,F,
10251687,4229720,Occupant,,U,
10248498,4229507,Occupant,,,
10251750,4230470,Occupant,29.0,M,
10250145,4230448,Occupant,66.0,M,
10253575,4230732,Occupant,,,
10252624,4230916,Occupant,,,
10248393,4229665,Occupant,64.0,M,
10249598,4230297,Occupant,23.0,F,
10248282,4229613,Occupant,44.0,F,
10255581,4225062,Occupant,,,
10249452,4229724,Occupant,39.0,M,
10252456,4229756,Occupant,72.0,F,
10254147,4225273,Occupant,59.0,F,
10252431,4229753,Occupant,21.0,M,
10253524,4230781,Occupant,42.0,F,
10253849,4230920,Occupant,37.0,M,
10254077,4231166,Occupant,47.0,F,
10248860,4229573,Occupant,29.0,M,
10252443,4229772,Occupant,50.0,F,
10253751,4230976,Occupant,58.0,M,
10253204,4231280,Occupant,42.0,M,
10247088,4229484,Occupant,35.0,M,
10255220,4226827,Occupant,13.0,F,
10253697,4230784,Occupant,26.0,F,
10252294,4229879,Occupant,26.0,F,
10248430,4229708,Occupant,50.0,F,
10251327,4230031,Occupant,66.0,F,
10252433,4229753,Occupant,,U,
10249329,4229970,Occupant,23.0,M,
10253249,4231058,Occupant,,,
10250423,4230165,Occupant,47.0,M,
10252681,4231243,Occupant,56.0,M,
10250667,4230235,Occupant,57.0,M,
10252009,4229955,Occupant,,U,
10254479,4230694,Occupant,,U,
10252675,4231236,Occupant,30.0,F,
10255001,4230583,Occupant,26.0,F,
10253301,4230988,Occupant,45.0,F,
10253312,4230996,Occupant,38.0,M,
10253343,4231057,Occupant,58.0,M,
10248868,4229576,Occupant,51.0,M,
10254848,4230798,Occupant,63.0,M,
10255127,4230663,Occupant,,U,
10251809,4230283,Occupant,55.0,M,
10254304,4231033,Occupant,,U,
10253647,4230791,Occupant,49.0,M,
10255695,4231090,Occupant,55.0,M,
10252311,4229853,Occupant,24.0,M,
10254845,4230798,Occupant,30.0,F,
10253310,4230996,Occupant,43.0,F,
10252314,4229853,Occupant,24.0,M,
